"cod","numpedido","dataemissao","mes","ano","nomecliente","produto","qtde","prcunit","total","custounit","margem","estoque","compra"
"1","1371","03/01/2019","1","2019","CLI3460","5140","240","23.64","5673.6","10.232","13.408","530","COMPRA"
"2","1378","03/01/2019","1","2019","CLI3433","5140","48","23.64","1134.72","10.232","13.408","563","COMPRA"
"3","1388","03/01/2019","1","2019","CLI3455","5140","16","23.64","378.24","10.232","13.408","229","COMPRA"
"4","1391","03/01/2019","1","2019","CLI3587","5140","8","23.64","189.12","10.232","13.408","269","COMPRA"
"5",NULL,"03/01/2019","1","2019","CLI3472","5140","8","23.64","189.12","9.05","14.59","119","COMPRA"
"6",NULL,"03/01/2019","1","2019","CLI3462","5140","24","23.64","567.36","10.232","13.408","341","COMPRA"
"7",NULL,"03/01/2019","1","2019","CLI3434","5140","72","23.64","1702.08","10.232","13.408","34","COMPRA"
"8",NULL,"04/01/2019","1","2019","CLI3420","5140","8","25","200","10.3","14.7","152","COMPRA"
"9",NULL,"07/01/2019","1","2019","CLI3194","5140","8","23.64","189.12","9.05","14.59","256","COMPRA"
"10",NULL,"07/01/2019","1","2019","CLI3194","5140","32","23.64","756.48","9.05","14.59","19","COMPRA"
"11",NULL,"08/01/2019","1","2019","CLI2259","5140","16","24.4","390.4","9.05","15.35","471","COMPRA"
"12",NULL,"08/01/2019","1","2019","CLI1889","5140","16","7.72","123.52","9.436","-1.716","441","NAOCOMPRA"
"13",NULL,"09/01/2019","1","2019","CLI2","5140","112","23.97","2684.64","10.2485","13.7215","282","COMPRA"
"14",NULL,"10/01/2019","1","2019","CLI3436","5140","32","23.64","756.48","10.232","13.408","502","COMPRA"
"15",NULL,"10/01/2019","1","2019","CLI3587","5140","32","23.64","756.48","10.232","13.408","121","COMPRA"
"16",NULL,"10/01/2019","1","2019","CLI3433","5140","56","23.64","1323.84","10.232","13.408","241","COMPRA"
"17",NULL,"10/01/2019","1","2019","CLI3466","5140","16","23.64","378.24","9.05","14.59","562","COMPRA"
"18",NULL,"10/01/2019","1","2019","CLI3473","5140","40","23.64","945.6","9.05","14.59","585","NAOCOMPRA"
"19",NULL,"10/01/2019","1","2019","CLI3463","5140","24","23.64","567.36","10.232","13.408","20","COMPRA"
"20",NULL,"10/01/2019","1","2019","CLI3433","5140","48","23.64","1134.72","10.232","13.408","371","COMPRA"
"21",NULL,"10/01/2019","1","2019","CLI3468","5140","24","23.64","567.36","9.05","14.59","525","COMPRA"
"22",NULL,"11/01/2019","1","2019","CLI3434","5140","32","23.64","756.48","10.232","13.408","444","COMPRA"
"23","1477","11/01/2019","1","2019","CLI1889","5140","24","7.72","185.28","9.436","-1.716","95","NAOCOMPRA"
"24","8005","11/01/2019","1","2019","CLI2091","5140","24","30.36","728.64","10.568","19.792","263","COMPRA"
"25",NULL,"16/01/2019","1","2019","CLI1889","5140","384","7.72","2964.48","9.436","-1.716","126","NAOCOMPRA"
"26",NULL,"16/01/2019","1","2019","CLI2259","5140","384","24.4","9369.6","9.05","15.35","201","COMPRA"
"27",NULL,"22/01/2019","1","2019","CLI3587","5140","8","23.64","189.12","10.232","13.408","282","COMPRA"
"28",NULL,"22/01/2019","1","2019","CLI3436","5140","16","23.64","378.24","10.232","13.408","315","COMPRA"
"29",NULL,"22/01/2019","1","2019","CLI3441","5140","32","23.64","756.48","9.05","14.59","209","COMPRA"
"30",NULL,"22/01/2019","1","2019","CLI3470","5140","8","23.64","189.12","9.05","14.59","472","COMPRA"
"31","1562","22/01/2019","1","2019","CLI3424","5140","8","23.54","188.32","10.227","13.313","344","COMPRA"
"32","1573","23/01/2019","1","2019","CLI1889","5140","48","7.72","370.56","9.436","-1.716","158","NAOCOMPRA"
"33","8055","23/01/2019","1","2019","CLI3226","5140","48","28.84","1384.32","9.05","19.79","471","NAOCOMPRA"
"34","1500","24/01/2019","1","2019","CLI3470","5140","8","23.64","189.12","9.05","14.59","213","COMPRA"
"35","1535","25/01/2019","1","2019","CLI3434","5140","72","23.64","1702.08","10.232","13.408","194","COMPRA"
"36","1542","25/01/2019","1","2019","CLI3455","5140","16","23.64","378.24","10.232","13.408","134","COMPRA"
"37","1547","25/01/2019","1","2019","CLI3433","5140","48","23.64","1134.72","10.232","13.408","263","COMPRA"
"38","1541","25/01/2019","1","2019","CLI3436","5140","56","23.64","1323.84","10.232","13.408","514","COMPRA"
